Reporting_Year,Age_group,All_registered,All_fully_immunised,All_not_fully_immunised,All_percent,Indig_registered,Indig_fully_immunised,Indig_not_fully_immunised,Indig_percent_fi
2012–13,1 year,302288,276058,26230,91.3,14685.0,12503.0,2182,85.1
2012–13,2 years,300042,277329,22713,92.4,14327.0,13177.0,1150,92.0
2012–13,5 years,307624,281592,26032,91.5,13731.0,12651.0,1080,92.1
2013–14,1 year,309964,280247,29717,90.4,15555.0,13417.0,2138,86.3
2013–14,2 years,304607,281307,23300,92.4,14977.0,13820.0,1157,92.3
2013–14,5 years,308947,284081,24866,92.0,14019.0,13036.0,983,93.0
2014–15,1 year,307342,280671,26671,91.3,15825.0,13882.0,1943,87.7
2014–15,2 years,310770,277089,33681,89.2,15507.0,13452.0,2055,86.7
2014–15,5 years,312369,288150,24219,92.2,14164.0,13240.0,924,93.5
2015–16,1 year,307499,285972,21527,93.0,16654.0,14953.0,1701,89.8
2015–16,2 years,307512,278898,28614,90.7,15672.0,13744.0,1928,87.7
2015–16,5 years,312099,289971,22128,92.9,14893.0,14084.0,809,94.6
2016–17,1 year,308750,289579,19171,93.8,17095.0,15756.0,1339,92.2
2016–17,2 years,311777,283293,28484,90.9,16897.0,14964.0,1933,88.6
2016–17,5 years,318004,297480,20524,93.5,15736.0,15056.0,680,95.7
