State,PHN_code,PHN_name,Reporting_Year,Age_group,Registered_children,Fully_immunised,Not_fully_immunised,Percent_fully_immunised
NSW,PHN101,Central and Eastern Sydney,2016-17,1 year,18910,17565,1345,92.9
NSW,PHN102,Northern Sydney,2016-17,1 year,10599,9899,700,93.4
NSW,PHN103,Western Sydney,2016-17,1 year,14546,13458,1088,92.5
NSW,PHN104,Nepean Blue Mountains,2016-17,1 year,5256,4961,295,94.4
NSW,PHN105,South Western Sydney,2016-17,1 year,14268,13287,981,93.1
NSW,PHN106,South Eastern NSW,2016-17,1 year,6911,6571,340,95.1
NSW,PHN107,Western NSW,2016-17,1 year,4182,3987,195,95.3
NSW,PHN108,Hunter New England and Central Coast,2016-17,1 year,14997,14321,676,95.5
NSW,PHN109,North Coast,2016-17,1 year,5289,4766,523,90.1
NSW,PHN110,Murrumbidgee,2016-17,1 year,2963,2849,114,96.2
VIC,PHN201,North Western Melbourne,2016-17,1 year,24394,22687,1707,93.0
VIC,PHN202,Eastern Melbourne,2016-17,1 year,17338,16347,991,94.3
VIC,PHN203,South Eastern Melbourne,2016-17,1 year,19616,18405,1211,93.8
VIC,PHN204,Gippsland,2016-17,1 year,3186,3022,164,94.9
VIC/NSW,PHN205,Murray,2016-17,1 year,7177,6760,417,94.2
VIC,PHN206,Western Victoria,2016-17,1 year,7498,7131,367,95.1
QLD,PHN301,Brisbane North,2016-17,1 year,11895,11334,561,95.3
QLD,PHN302,Brisbane South,2016-17,1 year,15052,14179,873,94.2
QLD,PHN303,Gold Coast,2016-17,1 year,7139,6647,492,93.1
QLD,PHN304,Darling Downs and West Moreton,2016-17,1 year,7831,7419,412,94.7
QLD,PHN305,Western Queensland,2016-17,1 year,1031,991,40,96.1
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,1 year,9567,8895,672,93.0
QLD,PHN307,Northern Queensland,2016-17,1 year,9348,8836,512,94.5
SA,PHN401,Adelaide,2016-17,1 year,14577,13667,910,93.8
SA,PHN402,Country SA,2016-17,1 year,5272,5004,268,94.9
WA,PHN501,Perth North,2016-17,1 year,13846,12890,956,93.1
WA,PHN502,Perth South,2016-17,1 year,13645,12691,954,93.0
WA,PHN503,Country WA,2016-17,1 year,7176,6694,482,93.3
TAS,PHN601,Tasmania,2016-17,1 year,5739,5378,361,93.7
NT,PHN701,Northern Territory,2016-17,1 year,3761,3489,272,92.8
ACT,PHN801,Australian Capital Territory,2016-17,1 year,5721,5437,284,95.0
NSW,PHN101,Central and Eastern Sydney,2016-17,2 years,18441,16422,2019,89.1
NSW,PHN102,Northern Sydney,2016-17,2 years,11185,9958,1227,89.0
NSW,PHN103,Western Sydney,2016-17,2 years,14899,13213,1686,88.7
NSW,PHN104,Nepean Blue Mountains,2016-17,2 years,5205,4762,443,91.5
NSW,PHN105,South Western Sydney,2016-17,2 years,14433,12849,1584,89.0
NSW,PHN106,South Eastern NSW,2016-17,2 years,6960,6424,536,92.3
NSW,PHN107,Western NSW,2016-17,2 years,4198,3904,294,93.0
NSW,PHN108,Hunter New England and Central Coast,2016-17,2 years,15369,14324,1045,93.2
NSW,PHN109,North Coast,2016-17,2 years,5606,4928,678,87.9
NSW,PHN110,Murrumbidgee,2016-17,2 years,3011,2796,215,92.9
VIC,PHN201,North Western Melbourne,2016-17,2 years,24077,21723,2354,90.2
VIC,PHN202,Eastern Melbourne,2016-17,2 years,17890,16318,1572,91.2
VIC,PHN203,South Eastern Melbourne,2016-17,2 years,19475,17673,1802,90.7
VIC,PHN204,Gippsland,2016-17,2 years,3159,2956,203,93.6
VIC/NSW,PHN205,Murray,2016-17,2 years,7371,6769,602,91.8
