State,PHN_code,PHN_name,Reporting_Year,Age_group,Registered_children,Fully_immunised,Not_fully_immunised,Percent_fully_immunised
NSW,PHN101,Central and Eastern Sydney,2016-17,1 year,290,266,24,91.7
NSW,PHN102,Northern Sydney,2016-17,1 year,NP,NP,NP,92.2
NSW,PHN103,Western Sydney,2016-17,1 year,259,240,19,92.7
NSW,PHN104,Nepean Blue Mountains,2016-17,1 year,251,236,15,94
NSW,PHN105,South Western Sydney,2016-17,1 year,373,351,22,94.1
NSW,PHN106,South Eastern NSW,2016-17,1 year,490,466,24,95.1
NSW,PHN107,Western NSW,2016-17,1 year,902,838,64,92.9
NSW,PHN108,Hunter New England and Central Coast,2016-17,1 year,1711,1630,81,95.3
NSW,PHN109,North Coast,2016-17,1 year,627,595,32,94.9
NSW,PHN110,Murrumbidgee,2016-17,1 year,311,297,14,95.5
VIC,PHN201,North Western Melbourne,2016-17,1 year,387,358,29,92.5
VIC,PHN202,Eastern Melbourne,2016-17,1 year,207,189,18,91.3
VIC,PHN203,South Eastern Melbourne,2016-17,1 year,149,138,11,92.6
VIC,PHN204,Gippsland,2016-17,1 year,127,111,16,87.4
VIC/NSW,PHN205,Murray,2016-17,1 year,534,479,55,89.7
VIC,PHN206,Western Victoria,2016-17,1 year,261,235,26,90
QLD,PHN301,Brisbane North,2016-17,1 year,544,508,36,93.4
QLD,PHN302,Brisbane South,2016-17,1 year,663,613,50,92.5
QLD,PHN303,Gold Coast,2016-17,1 year,198,184,14,92.9
QLD,PHN304,Darling Downs and West Moreton,2016-17,1 year,798,742,56,93
QLD,PHN305,Western Queensland,2016-17,1 year,312,287,25,92
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,1 year,836,762,74,91.1
QLD,PHN307,Northern Queensland,2016-17,1 year,1980,1812,168,91.5
SA,PHN401,Adelaide,2016-17,1 year,484,435,49,89.9
SA,PHN402,Country SA,2016-17,1 year,390,364,26,93.3
WA,PHN501,Perth North,2016-17,1 year,378,321,57,84.9
WA,PHN502,Perth South,2016-17,1 year,507,433,74,85.4
WA,PHN503,Country WA,2016-17,1 year,1243,1134,109,91.2
TAS,PHN601,Tasmania,2016-17,1 year,419,389,30,92.8
NT,PHN701,Northern Territory,2016-17,1 year,1289,1178,111,91.4
ACT,PHN801,Australian Capital Territory,2016-17,1 year,125,119,6,95.2
NSW,PHN101,Central and Eastern Sydney,2016-17,2 years,225,203,22,90.2
NSW,PHN102,Northern Sydney,2016-17,2 years,NP,NP,NP,90.6
NSW,PHN103,Western Sydney,2016-17,2 years,306,266,40,86.9
NSW,PHN104,Nepean Blue Mountains,2016-17,2 years,268,248,20,92.5
NSW,PHN105,South Western Sydney,2016-17,2 years,306,280,26,91.5
NSW,PHN106,South Eastern NSW,2016-17,2 years,525,477,48,90.9
NSW,PHN107,Western NSW,2016-17,2 years,858,762,96,88.8
NSW,PHN108,Hunter New England and Central Coast,2016-17,2 years,1613,1486,127,92.1
NSW,PHN109,North Coast,2016-17,2 years,666,605,61,90.8
NSW,PHN110,Murrumbidgee,2016-17,2 years,315,277,38,87.9
VIC,PHN201,North Western Melbourne,2016-17,2 years,292,269,23,92.1
VIC,PHN202,Eastern Melbourne,2016-17,2 years,166,156,10,94
VIC,PHN203,South Eastern Melbourne,2016-17,2 years,138,122,16,88.4
VIC,PHN204,Gippsland,2016-17,2 years,123,107,16,87
VIC/NSW,PHN205,Murray,2016-17,2 years,485,425,60,87.6
VIC,PHN206,Western Victoria,2016-17,2 years,261,236,25,90.4
QLD,PHN301,Brisbane North,2016-17,2 years,566,500,66,88.3
QLD,PHN302,Brisbane South,2016-17,2 years,626,551,75,88
QLD,PHN303,Gold Coast,2016-17,2 years,192,174,18,90.6
QLD,PHN304,Darling Downs and West Moreton,2016-17,2 years,775,697,78,89.9
QLD,PHN305,Western Queensland,2016-17,2 years,339,306,33,90.3
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,2 years,889,789,100,88.8
QLD,PHN307,Northern Queensland,2016-17,2 years,1985,1753,232,88.3
SA,PHN401,Adelaide,2016-17,2 years,478,418,60,87.4
SA,PHN402,Country SA,2016-17,2 years,383,341,42,89
WA,PHN501,Perth North,2016-17,2 years,375,307,68,81.9
WA,PHN502,Perth South,2016-17,2 years,537,434,103,80.8
WA,PHN503,Country WA,2016-17,2 years,1209,1032,177,85.4
TAS,PHN601,Tasmania,2016-17,2 years,476,433,43,91
NT,PHN701,Northern Territory,2016-17,2 years,1347,1154,193,85.7
ACT,PHN801,Australian Capital Territory,2016-17,2 years,141,125,16,88.7
NSW,PHN101,Central and Eastern Sydney,2016-17,5 years,208,195,13,93.8
NSW,PHN102,Northern Sydney,2016-17,5 years,NP,NP,NP,100
NSW,PHN103,Western Sydney,2016-17,5 years,275,262,13,95.3
NSW,PHN104,Nepean Blue Mountains,2016-17,5 years,NP,NP,NP,98
NSW,PHN105,South Western Sydney,2016-17,5 years,303,296,7,97.7
NSW,PHN106,South Eastern NSW,2016-17,5 years,502,483,19,96.2
NSW,PHN107,Western NSW,2016-17,5 years,859,833,26,97
NSW,PHN108,Hunter New England and Central Coast,2016-17,5 years,1466,1418,48,96.7
NSW,PHN109,North Coast,2016-17,5 years,636,614,22,96.5
NSW,PHN110,Murrumbidgee,2016-17,5 years,289,282,7,97.6
VIC,PHN201,North Western Melbourne,2016-17,5 years,258,241,17,93.4
VIC,PHN202,Eastern Melbourne,2016-17,5 years,NP,NP,NP,96.4
VIC,PHN203,South Eastern Melbourne,2016-17,5 years,120,114,6,95
VIC,PHN204,Gippsland,2016-17,5 years,NP,NP,NP,96.4
VIC/NSW,PHN205,Murray,2016-17,5 years,388,367,21,94.6
VIC,PHN206,Western Victoria,2016-17,5 years,206,185,21,89.8
QLD,PHN301,Brisbane North,2016-17,5 years,505,488,17,96.6
QLD,PHN302,Brisbane South,2016-17,5 years,569,539,30,94.7
QLD,PHN303,Gold Coast,2016-17,5 years,199,190,9,95.5
QLD,PHN304,Darling Downs and West Moreton,2016-17,5 years,724,697,27,96.3
QLD,PHN305,Western Queensland,2016-17,5 years,339,324,15,95.6
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,5 years,806,767,39,95.2
QLD,PHN307,Northern Queensland,2016-17,5 years,1894,1843,51,97.3
SA,PHN401,Adelaide,2016-17,5 years,449,412,37,91.8
SA,PHN402,Country SA,2016-17,5 years,416,398,18,95.7
WA,PHN501,Perth North,2016-17,5 years,317,287,30,90.5
WA,PHN502,Perth South,2016-17,5 years,481,450,31,93.6
WA,PHN503,Country WA,2016-17,5 years,1165,1119,46,96.1
TAS,PHN601,Tasmania,2016-17,5 years,470,449,21,95.5
NT,PHN701,Northern Territory,2016-17,5 years,1288,1220,68,94.7
ACT,PHN801,Australian Capital Territory,2016-17,5 years,120,114,6,95
