Country,Year,Coverage,Rank,Is_Australia
Finland,2010.0,99.0,7,False
Greece,2010.0,99.0,9,False
Poland,2010.0,99.0,11,False
Spain,2010.0,97.0,15,False
Japan,2010.0,97.0,16,False
Netherlands (Kingdom of the),2010.0,97.0,17,False
Slovenia,2010.0,96.0,18,False
Iceland,2010.0,96.0,19,False
Italy,2010.0,96.0,20,False
Germany,2010.0,96.0,21,False
United States of America,2010.0,95.0,23,False
Lithuania,2010.0,95.0,24,False
United Kingdom of Great Britain and Northern Ireland,2010.0,94.0,27,False
Ireland,2010.0,94.0,28,False
Australia,2010.0,92.0,31,True
Canada,2010.0,89.0,35,False
Finland,2011.0,99.0,7,False
Greece,2011.0,99.0,9,False
Poland,2011.0,99.0,11,False
Spain,2011.0,97.0,14,False
Japan,2011.0,97.0,15,False
Netherlands (Kingdom of the),2011.0,97.0,16,False
United States of America,2011.0,96.0,19,False
Slovenia,2011.0,96.0,20,False
Italy,2011.0,96.0,22,False
United Kingdom of Great Britain and Northern Ireland,2011.0,95.0,23,False
Iceland,2011.0,95.0,24,False
Ireland,2011.0,95.0,25,False
Germany,2011.0,95.0,26,False
Australia,2011.0,92.0,31,True
Lithuania,2011.0,92.0,34,False
Canada,2011.0,87.0,37,False
Finland,2012.0,99.0,9,False
Greece,2012.0,99.0,11,False
Poland,2012.0,99.0,13,False
Italy,2012.0,97.0,16,False
Japan,2012.0,97.0,17,False
Netherlands (Kingdom of the),2012.0,97.0,18,False
Slovenia,2012.0,96.0,20,False
Spain,2012.0,96.0,21,False
United Kingdom of Great Britain and Northern Ireland,2012.0,95.0,22,False
Ireland,2012.0,95.0,23,False
Germany,2012.0,95.0,24,False
United States of America,2012.0,94.0,28,False
Lithuania,2012.0,93.0,30,False
Australia,2012.0,92.0,32,True
Canada,2012.0,91.0,33,False
Iceland,2012.0,89.0,37,False
Greece,2013.0,99.0,6,False
Poland,2013.0,99.0,8,False
Finland,2013.0,98.0,12,False
Netherlands (Kingdom of the),2013.0,97.0,14,False
Spain,2013.0,96.0,17,False
Ireland,2013.0,96.0,18,False
Italy,2013.0,96.0,20,False
Japan,2013.0,96.0,21,False
United Kingdom of Great Britain and Northern Ireland,2013.0,95.0,22,False
Slovenia,2013.0,95.0,23,False
United States of America,2013.0,94.0,26,False
Lithuania,2013.0,93.0,30,False
Germany,2013.0,93.0,31,False
Australia,2013.0,91.0,33,True
Canada,2013.0,91.0,34,False
Iceland,2013.0,91.0,35,False
Greece,2014.0,99.0,6,False
Finland,2014.0,98.0,9,False
Poland,2014.0,98.0,10,False
Spain,2014.0,97.0,15,False
Ireland,2014.0,96.0,17,False
Japan,2014.0,96.0,18,False
Netherlands (Kingdom of the),2014.0,96.0,19,False
United Kingdom of Great Britain and Northern Ireland,2014.0,95.0,20,False
United States of America,2014.0,95.0,21,False
Slovenia,2014.0,95.0,23,False
Italy,2014.0,95.0,25,False
Lithuania,2014.0,93.0,28,False
Germany,2014.0,93.0,29,False
Australia,2014.0,92.0,32,True
Canada,2014.0,91.0,35,False
Iceland,2014.0,90.0,36,False
Greece,2015.0,99.0,4,False
Poland,2015.0,98.0,7,False
Spain,2015.0,97.0,12,False
Finland,2015.0,97.0,14,False
Japan,2015.0,96.0,17,False
United Kingdom of Great Britain and Northern Ireland,2015.0,95.0,19,False
United States of America,2015.0,95.0,20,False
Slovenia,2015.0,95.0,22,False
