Country,Year,Coverage,Rank,Is_Australia,Label
Australia,2025.0,92.0,24,True,Australia (#24)
Canada,2025.0,92.0,25,False,Canada (#25)
Finland,2025.0,92.0,26,False,Finland (#26)
Germany,2025.0,89.0,33,False,Germany (#33)
Greece,2025.0,94.0,20,False,Greece (#20)
Iceland,2025.0,90.0,29,False,Iceland (#29)
Ireland,2025.0,90.0,30,False,Ireland (#30)
Italy,2025.0,95.0,18,False,Italy (#18)
Japan,2025.0,91.0,27,False,Japan (#27)
Lithuania,2025.0,89.0,32,False,Lithuania (#32)
Netherlands (Kingdom of the),2025.0,90.0,31,False,Netherlands (Kingdom of the) (#31)
Poland,2025.0,94.0,21,False,Poland (#21)
Slovenia,2025.0,90.0,28,False,Slovenia (#28)
Spain,2025.0,93.0,22,False,Spain (#22)
United Kingdom of Great Britain and Northern Ireland,2025.0,92.0,23,False,United Kingdom of Great Britain and Northern Ireland (#23)
United States of America,2025.0,94.0,19,False,United States of America (#19)
