Country,Year,Coverage,Rank,Is_Australia
Cyprus,2010.0,99.0,1,False
Czechia,2010.0,99.0,2,False
Andorra,2010.0,99.0,3,False
Slovakia,2010.0,99.0,4,False
Luxembourg,2010.0,99.0,5,False
Monaco,2010.0,99.0,6,False
Finland,2010.0,99.0,7,False
France,2010.0,99.0,8,False
Greece,2010.0,99.0,9,False
Hungary,2010.0,99.0,10,False
Australia,2010.0,92.0,31,True
Cyprus,2011.0,99.0,1,False
Czechia,2011.0,99.0,2,False
Andorra,2011.0,99.0,3,False
Slovakia,2011.0,99.0,4,False
Luxembourg,2011.0,99.0,5,False
Monaco,2011.0,99.0,6,False
Finland,2011.0,99.0,7,False
France,2011.0,99.0,8,False
Greece,2011.0,99.0,9,False
Hungary,2011.0,99.0,10,False
Australia,2011.0,92.0,31,True
Cyprus,2012.0,99.0,1,False
Czechia,2012.0,99.0,2,False
Andorra,2012.0,99.0,3,False
Belgium,2012.0,99.0,4,False
Slovakia,2012.0,99.0,5,False
Luxembourg,2012.0,99.0,6,False
Malta,2012.0,99.0,7,False
Monaco,2012.0,99.0,8,False
Finland,2012.0,99.0,9,False
France,2012.0,99.0,10,False
Australia,2012.0,92.0,32,True
Cyprus,2013.0,99.0,1,False
Belgium,2013.0,99.0,2,False
Luxembourg,2013.0,99.0,3,False
Malta,2013.0,99.0,4,False
Monaco,2013.0,99.0,5,False
Greece,2013.0,99.0,6,False
Hungary,2013.0,99.0,7,False
Poland,2013.0,99.0,8,False
Czechia,2013.0,98.0,9,False
Slovakia,2013.0,98.0,10,False
Australia,2013.0,91.0,33,True
Cyprus,2014.0,99.0,1,False
Belgium,2014.0,99.0,2,False
Luxembourg,2014.0,99.0,3,False
Malta,2014.0,99.0,4,False
Monaco,2014.0,99.0,5,False
Greece,2014.0,99.0,6,False
Hungary,2014.0,99.0,7,False
Sweden,2014.0,98.0,8,False
Finland,2014.0,98.0,9,False
Poland,2014.0,98.0,10,False
Australia,2014.0,92.0,32,True
Belgium,2015.0,99.0,1,False
Luxembourg,2015.0,99.0,2,False
Monaco,2015.0,99.0,3,False
Greece,2015.0,99.0,4,False
Hungary,2015.0,99.0,5,False
Sweden,2015.0,98.0,6,False
Poland,2015.0,98.0,7,False
Portugal,2015.0,98.0,8,False
Cyprus,2015.0,97.0,9,False
Czechia,2015.0,97.0,10,False
Australia,2015.0,93.0,30,True
Luxembourg,2016.0,99.0,1,False
Monaco,2016.0,99.0,2,False
Japan,2016.0,99.0,3,False
Greece,2016.0,99.0,4,False
Hungary,2016.0,99.0,5,False
Andorra,2016.0,98.0,6,False
Belgium,2016.0,98.0,7,False
Sweden,2016.0,98.0,8,False
Latvia,2016.0,98.0,9,False
Poland,2016.0,98.0,10,False
Australia,2016.0,94.0,26,True
Andorra,2017.0,99.0,1,False
Luxembourg,2017.0,99.0,2,False
Monaco,2017.0,99.0,3,False
Japan,2017.0,99.0,4,False
Greece,2017.0,99.0,5,False
Hungary,2017.0,99.0,6,False
Denmark,2017.0,98.0,7,False
Belgium,2017.0,98.0,8,False
Latvia,2017.0,98.0,9,False
Malta,2017.0,98.0,10,False
Australia,2017.0,95.0,20,True
Cyprus,2018.0,99.0,1,False
Andorra,2018.0,99.0,2,False
Luxembourg,2018.0,99.0,3,False
Monaco,2018.0,99.0,4,False
Greece,2018.0,99.0,5,False
Hungary,2018.0,99.0,6,False
Portugal,2018.0,99.0,7,False
Belgium,2018.0,98.0,8,False
Israel,2018.0,98.0,9,False
Japan,2018.0,98.0,10,False
Australia,2018.0,95.0,20,True
Andorra,2019.0,99.0,1,False
Latvia,2019.0,99.0,2,False
Luxembourg,2019.0,99.0,3,False
Monaco,2019.0,99.0,4,False
Greece,2019.0,99.0,5,False
Hungary,2019.0,99.0,6,False
Portugal,2019.0,99.0,7,False
Sweden,2019.0,98.0,8,False
Malta,2019.0,98.0,9,False
Israel,2019.0,98.0,10,False
Australia,2019.0,95.0,20,True
Andorra,2020.0,99.0,1,False
Latvia,2020.0,99.0,2,False
Luxembourg,2020.0,99.0,3,False
Monaco,2020.0,99.0,4,False
Greece,2020.0,99.0,5,False
Hungary,2020.0,99.0,6,False
Portugal,2020.0,99.0,7,False
Belgium,2020.0,98.0,8,False
Malta,2020.0,98.0,9,False
Israel,2020.0,98.0,10,False
Australia,2020.0,95.0,20,True
Andorra,2021.0,99.0,1,False
Luxembourg,2021.0,99.0,2,False
Malta,2021.0,99.0,3,False
Monaco,2021.0,99.0,4,False
Japan,2021.0,99.0,5,False
Greece,2021.0,99.0,6,False
Hungary,2021.0,99.0,7,False
Portugal,2021.0,99.0,8,False
Belgium,2021.0,98.0,9,False
Sweden,2021.0,98.0,10,False
Australia,2021.0,95.0,18,True
Luxembourg,2022.0,99.0,1,False
Monaco,2022.0,99.0,2,False
Japan,2022.0,99.0,3,False
Hungary,2022.0,99.0,4,False
Portugal,2022.0,99.0,5,False
Andorra,2022.0,98.0,6,False
Belgium,2022.0,98.0,7,False
Malta,2022.0,98.0,8,False
Israel,2022.0,98.0,9,False
Greece,2022.0,98.0,10,False
Australia,2022.0,94.0,22,True
Luxembourg,2023.0,99.0,1,False
Monaco,2023.0,99.0,2,False
Hungary,2023.0,99.0,3,False
Portugal,2023.0,99.0,4,False
Andorra,2023.0,98.0,5,False
Belgium,2023.0,98.0,6,False
Latvia,2023.0,98.0,7,False
Malta,2023.0,98.0,8,False
Israel,2023.0,98.0,9,False
Japan,2023.0,98.0,10,False
Australia,2023.0,94.0,22,True
Luxembourg,2024.0,99.0,1,False
Monaco,2024.0,99.0,2,False
Japan,2024.0,99.0,3,False
Hungary,2024.0,99.0,4,False
Portugal,2024.0,99.0,5,False
Andorra,2024.0,98.0,6,False
Israel,2024.0,98.0,7,False
Belgium,2024.0,97.0,8,False
Latvia,2024.0,97.0,9,False
Malta,2024.0,97.0,10,False
Australia,2024.0,93.0,25,True
Latvia,2025.0,99.0,1,False
